epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.8382,3.77243,6.29961,4.03681,0,0,0,0,3.9702,5.05011,4.2117,0.00329749,0.00329749,0.00329749
2,79.7742,2.82357,4.74783,2.84809,0.06262,0.27412,0.05208,0.01729,2.48614,9.04943,2.65756,0.00662645,0.00662645,0.00662645
3,118.912,2.17285,3.37206,2.11364,0.18612,0.35953,0.15464,0.07174,1.8769,3.05565,2.06743,0.00995101,0.00995101,0.00995101
4,157.741,1.76998,2.66999,1.7564,0.25055,0.47804,0.27059,0.14484,1.55575,2.90683,1.77381,0.0099802,0.0099802,0.0099802
5,196.465,1.55881,2.21846,1.58443,0.3119,0.47066,0.32428,0.17795,1.57302,2.67771,1.76315,0.0099736,0.0099736,0.0099736
6,235.146,1.47808,1.92757,1.5134,0.47718,0.55513,0.53042,0.32504,1.29883,1.92055,1.52527,0.009967,0.009967,0.009967
7,273.757,1.39956,1.72495,1.45552,0.42681,0.59337,0.5186,0.31959,1.33745,1.64347,1.53453,0.0099604,0.0099604,0.0099604
8,312.316,1.35727,1.59339,1.4184,0.52891,0.61687,0.57716,0.36884,1.2426,1.44805,1.45929,0.0099538,0.0099538,0.0099538
9,350.901,1.30742,1.4588,1.38501,0.60215,0.7068,0.69127,0.45706,1.1564,1.29052,1.38823,0.0099472,0.0099472,0.0099472
10,389.416,1.28044,1.38198,1.3676,0.51522,0.6395,0.60179,0.4033,1.16082,1.48812,1.37255,0.0099406,0.0099406,0.0099406
11,427.961,1.25389,1.31081,1.34221,0.58488,0.73975,0.71204,0.48006,1.14066,1.24144,1.38179,0.009934,0.009934,0.009934
12,466.476,1.22791,1.24413,1.3258,0.67526,0.70176,0.74613,0.50862,1.12314,1.10802,1.36061,0.0099274,0.0099274,0.0099274
13,504.996,1.20533,1.18348,1.30945,0.69505,0.74824,0.79707,0.54512,1.08322,1.00002,1.32103,0.0099208,0.0099208,0.0099208
14,543.495,1.18978,1.13177,1.30004,0.74173,0.76003,0.81099,0.56208,1.08203,0.97376,1.31655,0.0099142,0.0099142,0.0099142
15,582.007,1.17392,1.09302,1.29246,0.73577,0.76827,0.83523,0.58678,1.04537,0.93555,1.28803,0.0099076,0.0099076,0.0099076
16,620.541,1.15732,1.0674,1.28313,0.69207,0.74599,0.78588,0.54346,1.07921,1.03471,1.31349,0.009901,0.009901,0.009901
17,659.085,1.14783,1.03272,1.26644,0.76263,0.75668,0.84229,0.59759,1.02753,0.91743,1.26842,0.0098944,0.0098944,0.0098944
