epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.1231,3.97998,6.48244,4.22449,0,0,0,0,3.91263,5.02021,4.19821,0.00330645,0.00330645,0.00330645
2,135.795,2.80027,4.86587,2.84445,0.08491,0.19871,0.06059,0.02275,2.3145,5.06731,2.48685,0.0066354,0.0066354,0.0066354
3,205.842,2.05679,3.33352,2.01626,0.00334,0.02179,0.0019,0.00052,4.45029,13.7237,5.72013,0.00995995,0.00995995,0.00995995
4,273.993,1.70049,2.59827,1.7134,0.31599,0.48346,0.33433,0.18597,1.48202,2.0938,1.71804,0.0099802,0.0099802,0.0099802
5,342.258,1.52107,2.14913,1.57354,0.4046,0.55193,0.4536,0.26679,1.37313,1.77873,1.59729,0.0099736,0.0099736,0.0099736
6,410.366,1.4404,1.87696,1.50541,0.44922,0.58238,0.5301,0.32883,1.29917,1.68343,1.53266,0.009967,0.009967,0.009967
7,478.562,1.38241,1.69217,1.46032,0.47086,0.62704,0.56827,0.35736,1.24393,1.56185,1.48412,0.0099604,0.0099604,0.0099604
8,546.691,1.33297,1.54671,1.41095,0.5453,0.57245,0.61461,0.39777,1.19897,1.60318,1.43488,0.0099538,0.0099538,0.0099538
9,614.795,1.28723,1.42509,1.38031,0.57664,0.67063,0.67506,0.44457,1.15755,1.29183,1.39087,0.0099472,0.0099472,0.0099472
10,682.808,1.26654,1.34614,1.36195,0.6784,0.71986,0.7553,0.50925,1.14401,1.08646,1.38266,0.0099406,0.0099406,0.0099406
11,750.964,1.23886,1.2559,1.3399,0.65857,0.69997,0.74761,0.51035,1.1096,1.13285,1.34836,0.009934,0.009934,0.009934
12,819.105,1.21444,1.19512,1.32688,0.64514,0.7302,0.74743,0.50973,1.11931,1.10596,1.35498,0.0099274,0.0099274,0.0099274
13,887.164,1.19645,1.14063,1.31062,0.57951,0.70525,0.70908,0.48449,1.08671,1.29213,1.33032,0.0099208,0.0099208,0.0099208
14,955.232,1.18318,1.10983,1.3017,0.71124,0.73648,0.81053,0.56099,1.07683,0.97698,1.31991,0.0099142,0.0099142,0.0099142
15,1023.39,1.16288,1.05345,1.28906,0.7485,0.76076,0.83628,0.58057,1.06824,0.93735,1.31138,0.0099076,0.0099076,0.0099076
16,1091.42,1.15328,1.03243,1.28211,0.76017,0.80058,0.87394,0.61396,1.04321,0.84444,1.29471,0.009901,0.009901,0.009901
17,1159.53,1.14164,1.01045,1.2707,0.78389,0.77903,0.85841,0.60981,1.02129,0.8473,1.27265,0.0098944,0.0098944,0.0098944
18,1227.59,1.12745,0.97802,1.2544,0.81431,0.81913,0.89638,0.64268,1.00326,0.76083,1.25961,0.0098878,0.0098878,0.0098878
19,1295.63,1.11047,0.93795,1.24912,0.7471,0.77209,0.84573,0.60578,1.01404,0.87241,1.26459,0.0098812,0.0098812,0.0098812
20,1363.68,1.09886,0.92006,1.24672,0.75114,0.74635,0.82644,0.59526,1.0166,0.89228,1.26696,0.0098746,0.0098746,0.0098746
21,1431.76,1.09651,0.91361,1.24373,0.80583,0.82919,0.89808,0.64738,0.99436,0.73686,1.25243,0.009868,0.009868,0.009868
22,1499.94,1.09051,0.89015,1.23581,0.83415,0.80873,0.90329,0.65259,0.99331,0.74011,1.24841,0.0098614,0.0098614,0.0098614
23,1567.98,1.08486,0.87133,1.23045,0.81322,0.81505,0.89411,0.6509,0.97537,0.75392,1.22942,0.0098548,0.0098548,0.0098548
