epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8372,3.83861,6.35998,4.07795,0,0,0,0,3.98486,5.03197,4.21781,0.00329749,0.00329749,0.00329749
2,85.8024,2.80604,4.87519,2.82276,0.08547,0.15765,0.05551,0.02354,2.22693,3.3196,2.5097,0.00662645,0.00662645,0.00662645
3,131.103,2.1179,3.51251,2.08425,0.11744,0.20878,0.09211,0.0414,1.95906,3.64786,2.16314,0.00995101,0.00995101,0.00995101
4,175.558,1.75814,2.71152,1.75025,0.28653,0.10346,0.07141,0.03427,1.87262,3.62443,2.08659,0.0099802,0.0099802,0.0099802
5,219.1,1.56075,2.227,1.59554,0.37334,0.50377,0.40208,0.23076,1.41513,1.93619,1.6421,0.0099736,0.0099736,0.0099736
6,262.8,1.4727,1.94225,1.52359,0.47607,0.57813,0.53179,0.32909,1.33071,1.59052,1.54762,0.009967,0.009967,0.009967
7,305.796,1.40308,1.747,1.47702,0.38769,0.51185,0.43164,0.26565,1.29896,2.21451,1.52329,0.0099604,0.0099604,0.0099604
8,349.469,1.35956,1.59295,1.42687,0.53657,0.5817,0.58218,0.37057,1.22887,1.66718,1.46397,0.0099538,0.0099538,0.0099538
9,393.252,1.31471,1.47107,1.40104,0.5447,0.60422,0.60007,0.38448,1.22847,1.53087,1.46403,0.0099472,0.0099472,0.0099472
10,437.771,1.28188,1.36943,1.37719,0.62939,0.71168,0.73055,0.48999,1.12126,1.24278,1.37478,0.0099406,0.0099406,0.0099406
11,481.237,1.25639,1.2946,1.35796,0.66728,0.67707,0.74815,0.50188,1.11608,1.25864,1.35909,0.009934,0.009934,0.009934
12,524.417,1.22677,1.2272,1.33465,0.60885,0.6865,0.70898,0.47481,1.16919,1.26604,1.41321,0.0099274,0.0099274,0.0099274
13,569.274,1.2167,1.17472,1.32864,0.69959,0.71654,0.77485,0.53106,1.09967,1.08665,1.34339,0.0099208,0.0099208,0.0099208
14,613.257,1.20025,1.12953,1.30627,0.6636,0.70684,0.74673,0.50892,1.0765,1.154,1.32445,0.0099142,0.0099142,0.0099142
15,656.859,1.17375,1.08123,1.30024,0.74072,0.76376,0.83327,0.58148,1.05379,0.93407,1.30881,0.0099076,0.0099076,0.0099076
16,700.38,1.16471,1.04268,1.28883,0.665,0.74074,0.78646,0.53743,1.07322,1.06662,1.3221,0.009901,0.009901,0.009901
17,743.278,1.15144,1.01022,1.28027,0.66008,0.7129,0.75258,0.52226,1.06406,1.12482,1.30836,0.0098944,0.0098944,0.0098944
18,786.849,1.1357,0.98305,1.26413,0.7965,0.79385,0.87352,0.61805,1.03309,0.82402,1.28306,0.0098878,0.0098878,0.0098878
19,829.956,1.12724,0.95041,1.25716,0.78619,0.80515,0.88206,0.62529,1.02511,0.81258,1.27356,0.0098812,0.0098812,0.0098812
20,873.541,1.11632,0.93023,1.2514,0.86202,0.81457,0.90203,0.64671,1.02155,0.74751,1.2709,0.0098746,0.0098746,0.0098746
21,917.053,1.10981,0.91078,1.25057,0.78956,0.81597,0.89398,0.64221,0.99844,0.7725,1.2552,0.009868,0.009868,0.009868
22,959.849,1.10154,0.90476,1.24916,0.7972,0.79828,0.88611,0.64278,0.99212,0.80863,1.24764,0.0098614,0.0098614,0.0098614
23,1002.8,1.0988,0.8717,1.23542,0.81787,0.83112,0.90298,0.6546,0.99296,0.75155,1.24562,0.0098548,0.0098548,0.0098548
24,1046.74,1.0877,0.86417,1.24185,0.73603,0.73889,0.7993,0.57402,0.99991,0.9721,1.25898,0.0098482,0.0098482,0.0098482
25,1089.96,1.0823,0.85468,1.22547,0.7545,0.81595,0.86802,0.63033,0.9862,0.84503,1.24521,0.0098416,0.0098416,0.0098416
26,1133.9,1.07673,0.83382,1.22107,0.86166,0.84903,0.92771,0.68319,0.9601,0.6685,1.22567,0.009835,0.009835,0.009835
27,1176.67,1.0703,0.81851,1.21815,0.8041,0.82305,0.89154,0.65329,0.96335,0.76436,1.2266,0.0098284,0.0098284,0.0098284
28,1219.21,1.05318,0.80272,1.20878,0.87557,0.85262,0.93514,0.69209,0.952,0.65699,1.21999,0.0098218,0.0098218,0.0098218
29,1262.11,1.05432,0.79757,1.20977,0.86492,0.82063,0.92075,0.67951,0.95392,0.70048,1.21326,0.0098152,0.0098152,0.0098152
30,1305.35,1.05162,0.79161,1.20506,0.88621,0.88326,0.94355,0.69793,0.94172,0.59775,1.2077,0.0098086,0.0098086,0.0098086
31,1348.82,1.04131,0.77958,1.20283,0.87647,0.87035,0.9369,0.69936,0.93817,0.62637,1.20722,0.009802,0.009802,0.009802
32,1391.63,1.04178,0.77187,1.20146,0.87963,0.88057,0.94809,0.7064,0.93507,0.59885,1.20301,0.0097954,0.0097954,0.0097954
33,1434.84,1.03419,0.7543,1.19455,0.86786,0.8565,0.93084,0.69046,0.94539,0.6326,1.20929,0.0097888,0.0097888,0.0097888
34,1476.86,1.03705,0.75179,1.20027,0.86371,0.88646,0.93028,0.69765,0.92781,0.60863,1.19782,0.0097822,0.0097822,0.0097822
35,1518.97,1.02708,0.75038,1.19362,0.88018,0.86186,0.94053,0.70314,0.93513,0.61787,1.20086,0.0097756,0.0097756,0.0097756
36,1561.36,1.0261,0.73917,1.19008,0.90088,0.88059,0.94934,0.70926,0.92184,0.5786,1.18979,0.009769,0.009769,0.009769
37,1604.06,1.01353,0.72957,1.18518,0.91205,0.88959,0.95281,0.71715,0.92251,0.56331,1.19474,0.0097624,0.0097624,0.0097624
38,1646.01,1.01466,0.71705,1.18226,0.90186,0.89068,0.95282,0.71673,0.90997,0.57416,1.18322,0.0097558,0.0097558,0.0097558
39,1687.84,1.01068,0.71396,1.18203,0.8931,0.89655,0.95016,0.72125,0.90607,0.56658,1.18003,0.0097492,0.0097492,0.0097492
40,1731.76,1.00458,0.70734,1.18088,0.90114,0.90104,0.95566,0.72356,0.90509,0.55096,1.18216,0.0097426,0.0097426,0.0097426
41,1777.16,1.00342,0.70473,1.17994,0.91248,0.90368,0.96265,0.73188,0.89255,0.52481,1.16787,0.009736,0.009736,0.009736
42,1820.39,1.00488,0.703,1.17908,0.89317,0.89805,0.95813,0.7266,0.8992,0.55624,1.1721,0.0097294,0.0097294,0.0097294
43,1862.97,0.99766,0.68691,1.16963,0.89784,0.91275,0.96108,0.7332,0.8958,0.53217,1.1719,0.0097228,0.0097228,0.0097228
44,1905.41,0.99907,0.69149,1.17186,0.91517,0.89887,0.96038,0.73446,0.89519,0.52748,1.17252,0.0097162,0.0097162,0.0097162
45,1948.09,0.98458,0.67784,1.1664,0.91498,0.91732,0.96685,0.73802,0.88345,0.51321,1.1622,0.0097096,0.0097096,0.0097096
46,1990.77,0.98874,0.68306,1.16609,0.91735,0.91656,0.96837,0.73916,0.8875,0.50881,1.16645,0.009703,0.009703,0.009703
47,2033.12,0.98975,0.66719,1.16701,0.92121,0.90989,0.96505,0.73806,0.88385,0.51148,1.1593,0.0096964,0.0096964,0.0096964
48,2075.67,0.98645,0.67306,1.16149,0.9276,0.91305,0.96812,0.74349,0.88165,0.50144,1.15831,0.0096898,0.0096898,0.0096898
49,2117.83,0.97905,0.66624,1.16203,0.92474,0.92592,0.96846,0.74498,0.87587,0.49663,1.1562,0.0096832,0.0096832,0.0096832
50,2159.63,0.97386,0.65198,1.15747,0.92971,0.91581,0.96896,0.74355,0.87617,0.49768,1.15579,0.0096766,0.0096766,0.0096766
51,2201.44,0.97997,0.65454,1.15804,0.92711,0.9169,0.97103,0.74572,0.87942,0.48965,1.16061,0.00967,0.00967,0.00967
52,2243.67,0.97262,0.65215,1.15666,0.93475,0.91957,0.97303,0.74574,0.88236,0.48089,1.15788,0.0096634,0.0096634,0.0096634
53,2286.41,0.9705,0.64337,1.15386,0.94248,0.9272,0.97596,0.74806,0.87753,0.47063,1.15579,0.0096568,0.0096568,0.0096568
54,2329.28,0.9645,0.63907,1.14878,0.93135,0.92467,0.97214,0.74801,0.8696,0.48295,1.15166,0.0096502,0.0096502,0.0096502
55,2371.55,0.95952,0.6336,1.14676,0.94949,0.93399,0.97852,0.75928,0.85696,0.45465,1.13944,0.0096436,0.0096436,0.0096436
56,2414.21,0.95938,0.63541,1.15038,0.92735,0.92067,0.96895,0.74941,0.86503,0.48295,1.14682,0.009637,0.009637,0.009637
57,2457.28,0.9641,0.62999,1.14849,0.9463,0.93427,0.97625,0.75809,0.86248,0.46299,1.14286,0.0096304,0.0096304,0.0096304
58,2500.74,0.95824,0.62352,1.14645,0.93545,0.93289,0.97417,0.75323,0.86105,0.46475,1.14231,0.0096238,0.0096238,0.0096238
59,2543.5,0.95898,0.62966,1.14781,0.94298,0.92825,0.97618,0.75722,0.85828,0.45862,1.13979,0.0096172,0.0096172,0.0096172
60,2586.46,0.95563,0.62123,1.14451,0.95103,0.94688,0.98067,0.76103,0.84753,0.44003,1.13228,0.0096106,0.0096106,0.0096106
61,2629.62,0.95495,0.62626,1.14697,0.94847,0.94183,0.98037,0.7641,0.85539,0.44205,1.13666,0.009604,0.009604,0.009604
62,2672.26,0.95242,0.62067,1.1466,0.95554,0.93235,0.97974,0.76515,0.85708,0.4359,1.13861,0.0095974,0.0095974,0.0095974
63,2715.5,0.95066,0.61637,1.14199,0.9459,0.94078,0.98186,0.7673,0.84175,0.44127,1.12774,0.0095908,0.0095908,0.0095908
64,2758.69,0.95379,0.6194,1.13971,0.94883,0.94088,0.97959,0.76398,0.84537,0.43841,1.13033,0.0095842,0.0095842,0.0095842
65,2801.09,0.94987,0.61301,1.14557,0.94627,0.93849,0.9763,0.76273,0.84671,0.44301,1.12907,0.0095776,0.0095776,0.0095776
66,2843.28,0.94177,0.61184,1.13601,0.95421,0.94771,0.98384,0.77174,0.83348,0.41936,1.12151,0.009571,0.009571,0.009571
67,2885.3,0.94279,0.60932,1.13587,0.95092,0.95171,0.98314,0.77028,0.83316,0.42642,1.12063,0.0095644,0.0095644,0.0095644
68,2927.29,0.93741,0.59943,1.13795,0.9547,0.94556,0.98396,0.7711,0.83513,0.41876,1.1214,0.0095578,0.0095578,0.0095578
69,2969.3,0.9396,0.60071,1.13842,0.95442,0.94459,0.98318,0.77531,0.83225,0.41733,1.12061,0.0095512,0.0095512,0.0095512
70,3011.33,0.93424,0.59284,1.12942,0.95278,0.95162,0.98345,0.77594,0.83066,0.41204,1.11912,0.0095446,0.0095446,0.0095446
71,3053.44,0.9373,0.5937,1.12946,0.94674,0.95321,0.98339,0.77473,0.83201,0.41628,1.11851,0.009538,0.009538,0.009538
72,3095.91,0.93128,0.594,1.12746,0.95613,0.95217,0.98482,0.77577,0.83297,0.41105,1.12063,0.0095314,0.0095314,0.0095314
73,3138.46,0.93598,0.59678,1.13396,0.94899,0.94889,0.98405,0.77405,0.83897,0.42089,1.1249,0.0095248,0.0095248,0.0095248
74,3180.31,0.93035,0.58559,1.12837,0.95268,0.95231,0.98285,0.77694,0.83011,0.41368,1.11912,0.0095182,0.0095182,0.0095182
75,3222.18,0.93271,0.58995,1.12778,0.95582,0.94853,0.98326,0.77703,0.82774,0.41296,1.11679,0.0095116,0.0095116,0.0095116
76,3265.11,0.93662,0.58836,1.13181,0.95993,0.95601,0.98544,0.77974,0.8255,0.40237,1.11499,0.009505,0.009505,0.009505
77,3307.37,0.92304,0.57698,1.12124,0.9629,0.95386,0.98462,0.77973,0.82279,0.40041,1.11262,0.0094984,0.0094984,0.0094984
78,3349.41,0.92697,0.58086,1.12321,0.95439,0.96122,0.98526,0.78123,0.8217,0.40036,1.11049,0.0094918,0.0094918,0.0094918
79,3391.41,0.92771,0.58289,1.12467,0.95965,0.95113,0.98386,0.78074,0.82179,0.40511,1.11142,0.0094852,0.0094852,0.0094852
80,3433.45,0.92068,0.57229,1.12029,0.95201,0.94871,0.98258,0.78012,0.82245,0.40448,1.11022,0.0094786,0.0094786,0.0094786
81,3475.43,0.92193,0.57943,1.12275,0.95674,0.95017,0.98269,0.77972,0.82004,0.40329,1.11044,0.009472,0.009472,0.009472
82,3517.41,0.92462,0.57902,1.12264,0.96253,0.95793,0.98625,0.78357,0.82152,0.3901,1.10993,0.0094654,0.0094654,0.0094654
83,3559.38,0.92235,0.56788,1.11984,0.96156,0.95365,0.98586,0.78499,0.81874,0.39188,1.10931,0.0094588,0.0094588,0.0094588
84,3601.39,0.92013,0.57364,1.1203,0.95873,0.96419,0.98689,0.78541,0.82125,0.38912,1.10976,0.0094522,0.0094522,0.0094522
85,3643.25,0.92408,0.57124,1.12334,0.95762,0.96017,0.98562,0.78437,0.81775,0.39109,1.10872,0.0094456,0.0094456,0.0094456
86,3685.09,0.92343,0.5712,1.12052,0.95683,0.95989,0.9858,0.78553,0.81742,0.38897,1.1078,0.009439,0.009439,0.009439
87,3726.92,0.91421,0.56261,1.11974,0.96088,0.952,0.98427,0.78476,0.81864,0.39206,1.10886,0.0094324,0.0094324,0.0094324
88,3769.65,0.91256,0.56651,1.11839,0.96041,0.96066,0.98558,0.78656,0.8161,0.38268,1.10704,0.0094258,0.0094258,0.0094258
89,3812.12,0.90875,0.55988,1.11294,0.96071,0.96453,0.98727,0.78797,0.80937,0.37687,1.10246,0.0094192,0.0094192,0.0094192
90,3855.2,0.91068,0.55728,1.11706,0.9652,0.95893,0.98692,0.79012,0.81125,0.37667,1.10277,0.0094126,0.0094126,0.0094126
91,3897.64,0.90358,0.55975,1.11776,0.95747,0.96732,0.98712,0.78923,0.81059,0.37788,1.10435,0.009406,0.009406,0.009406
92,3939.81,0.90866,0.55322,1.11611,0.9638,0.96827,0.98832,0.79021,0.80792,0.3706,1.10164,0.0093994,0.0093994,0.0093994
93,3982.46,0.90591,0.55555,1.11539,0.96714,0.96337,0.98752,0.78998,0.8096,0.37274,1.10213,0.0093928,0.0093928,0.0093928
94,4025.23,0.9126,0.55634,1.11462,0.96741,0.96341,0.98765,0.78991,0.81006,0.37413,1.10293,0.0093862,0.0093862,0.0093862
95,4068.58,0.91053,0.55343,1.11578,0.96566,0.96155,0.98698,0.79077,0.80674,0.37703,1.10059,0.0093796,0.0093796,0.0093796
96,4111.3,0.90557,0.54917,1.11199,0.96582,0.96289,0.9874,0.7925,0.8039,0.36945,1.09889,0.009373,0.009373,0.009373
97,4153.85,0.9026,0.55021,1.11122,0.96456,0.96312,0.98594,0.79098,0.80293,0.37228,1.0969,0.0093664,0.0093664,0.0093664
98,4196.2,0.89847,0.54954,1.11054,0.96564,0.95951,0.98644,0.79263,0.80113,0.37062,1.09504,0.0093598,0.0093598,0.0093598
99,4238.25,0.90246,0.54369,1.10726,0.96803,0.96476,0.98796,0.79295,0.80354,0.36704,1.09728,0.0093532,0.0093532,0.0093532
100,4280.3,0.90393,0.54138,1.11302,0.96711,0.96777,0.98852,0.79338,0.79963,0.36453,1.09406,0.0093466,0.0093466,0.0093466
101,4322.3,0.89897,0.53961,1.1126,0.96853,0.96228,0.98835,0.7943,0.7998,0.36254,1.09378,0.00934,0.00934,0.00934
102,4364.31,0.90428,0.54208,1.11036,0.96867,0.96278,0.9883,0.795,0.79766,0.36283,1.09164,0.0093334,0.0093334,0.0093334
103,4406.38,0.89634,0.54025,1.1077,0.96892,0.96569,0.98817,0.795,0.79982,0.36261,1.09333,0.0093268,0.0093268,0.0093268
104,4448.39,0.90011,0.53983,1.11015,0.96664,0.96556,0.98821,0.79526,0.79954,0.36184,1.09253,0.0093202,0.0093202,0.0093202
105,4490.42,0.89461,0.53553,1.1081,0.97124,0.964,0.98867,0.79608,0.79712,0.35841,1.09166,0.0093136,0.0093136,0.0093136
106,4532.63,0.89539,0.53686,1.10668,0.97188,0.96316,0.98748,0.79649,0.79412,0.36175,1.09109,0.009307,0.009307,0.009307
107,4574.88,0.89876,0.53929,1.11118,0.97095,0.97168,0.98849,0.79897,0.79249,0.35793,1.08905,0.0093004,0.0093004,0.0093004
108,4617.3,0.89714,0.53336,1.10802,0.96738,0.96914,0.98793,0.79766,0.79167,0.35823,1.08852,0.0092938,0.0092938,0.0092938
109,4659.5,0.89701,0.53406,1.10599,0.97113,0.96717,0.98823,0.79685,0.79354,0.35749,1.09025,0.0092872,0.0092872,0.0092872
