epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.4677,3.68699,6.15715,3.88181,0.84552,0.0161,0.00395,0.00117,3.05431,5.80174,3.31109,0.00332378,0.00332378,0.00332378
2,101.626,2.31252,3.71572,2.24967,0.2008,0.40985,0.19462,0.09333,1.86391,2.67166,2.00969,0.00665272,0.00665272,0.00665272
3,150.536,1.83609,2.84804,1.82872,0.24176,0.46804,0.25688,0.12728,1.70071,2.51336,1.90164,0.00997726,0.00997726,0.00997726
4,199.407,1.60972,2.31886,1.63129,0.34369,0.45194,0.33501,0.19949,1.44092,2.11065,1.62817,0.0099802,0.0099802,0.0099802
5,247.85,1.4686,1.92223,1.52916,0.46863,0.56737,0.50627,0.31282,1.3341,1.69272,1.54584,0.0099736,0.0099736,0.0099736
6,296.793,1.40014,1.69799,1.46176,0.5072,0.62973,0.57885,0.37363,1.21714,1.47381,1.43581,0.009967,0.009967,0.009967
7,345.469,1.3422,1.5432,1.42075,0.59102,0.69321,0.68224,0.44289,1.21143,1.26928,1.42951,0.0099604,0.0099604,0.0099604
8,393.865,1.29568,1.42479,1.38572,0.6328,0.72044,0.73561,0.48937,1.14334,1.18322,1.36746,0.0099538,0.0099538,0.0099538
9,442.732,1.26053,1.33585,1.35596,0.59922,0.66331,0.68378,0.46578,1.16191,1.31345,1.37528,0.0099472,0.0099472,0.0099472
10,491.325,1.23161,1.26831,1.33254,0.69907,0.75199,0.80366,0.54668,1.10374,1.02013,1.32982,0.0099406,0.0099406,0.0099406
11,539.773,1.20524,1.20702,1.3216,0.71589,0.74587,0.80981,0.55851,1.07295,1.01479,1.31081,0.009934,0.009934,0.009934
12,588.457,1.1921,1.16418,1.30775,0.70387,0.72874,0.7919,0.54905,1.06891,1.01556,1.30359,0.0099274,0.0099274,0.0099274
13,636.977,1.17235,1.12273,1.29175,0.72267,0.75499,0.81842,0.56918,1.07951,0.98294,1.31186,0.0099208,0.0099208,0.0099208
14,685.498,1.15297,1.08433,1.28453,0.72897,0.74442,0.81949,0.57436,1.05815,0.96501,1.28945,0.0099142,0.0099142,0.0099142
15,734.153,1.14233,1.05836,1.27802,0.80187,0.80107,0.88261,0.62043,1.05156,0.82726,1.27274,0.0099076,0.0099076,0.0099076
16,782.668,1.13887,1.03645,1.26962,0.77123,0.75952,0.85728,0.61125,1.01755,0.87026,1.26168,0.009901,0.009901,0.009901
17,831.316,1.12127,1.00656,1.25548,0.77837,0.80036,0.8711,0.62479,1.00575,0.82934,1.25034,0.0098944,0.0098944,0.0098944
18,879.791,1.11608,0.98505,1.2479,0.81787,0.79116,0.87799,0.6341,0.99478,0.79952,1.24361,0.0098878,0.0098878,0.0098878
19,928.4,1.11097,0.96064,1.24324,0.77237,0.79644,0.87292,0.62847,0.97753,0.87088,1.2297,0.0098812,0.0098812,0.0098812
20,976.911,1.09122,0.93371,1.23473,0.84015,0.8342,0.90994,0.65753,0.97533,0.73662,1.22914,0.0098746,0.0098746,0.0098746
21,1025.37,1.0855,0.92163,1.23238,0.81095,0.83133,0.90175,0.65601,0.96083,0.73869,1.21836,0.009868,0.009868,0.009868
22,1074.14,1.07714,0.90008,1.23171,0.86548,0.83008,0.919,0.67233,0.9618,0.69628,1.2155,0.0098614,0.0098614,0.0098614
23,1122.59,1.06967,0.89056,1.22421,0.86936,0.85736,0.93235,0.68607,0.95615,0.65752,1.20818,0.0098548,0.0098548,0.0098548
24,1171.18,1.06246,0.873,1.22608,0.86923,0.85627,0.93387,0.68945,0.95042,0.64862,1.20321,0.0098482,0.0098482,0.0098482
25,1218.96,1.06221,0.86354,1.21616,0.88576,0.85691,0.93596,0.69312,0.94537,0.63842,1.19708,0.0098416,0.0098416,0.0098416
26,1266.12,1.04932,0.84135,1.20677,0.86721,0.87678,0.94137,0.69932,0.93578,0.63139,1.1957,0.009835,0.009835,0.009835
27,1313.52,1.04121,0.83065,1.20797,0.87699,0.87042,0.93963,0.69676,0.943,0.62783,1.19899,0.0098284,0.0098284,0.0098284
28,1360.73,1.04436,0.82566,1.2012,0.88219,0.86336,0.94161,0.70386,0.92774,0.61774,1.19117,0.0098218,0.0098218,0.0098218
29,1407.87,1.04083,0.80707,1.20136,0.8708,0.88221,0.94382,0.7051,0.92427,0.60468,1.18139,0.0098152,0.0098152,0.0098152
30,1455.08,1.03875,0.80322,1.19455,0.88697,0.88896,0.94745,0.71244,0.91371,0.58586,1.17715,0.0098086,0.0098086,0.0098086
31,1502.29,1.02787,0.79665,1.19784,0.90878,0.88982,0.95506,0.71725,0.91944,0.56536,1.17525,0.009802,0.009802,0.009802
32,1549.5,1.02357,0.7797,1.19348,0.90738,0.88572,0.95468,0.71639,0.91357,0.57069,1.17412,0.0097954,0.0097954,0.0097954
33,1596.59,1.02234,0.77165,1.19097,0.90384,0.89772,0.95886,0.72324,0.90328,0.55568,1.16723,0.0097888,0.0097888,0.0097888
34,1643.85,1.01976,0.76258,1.18743,0.90835,0.91014,0.96414,0.73039,0.89929,0.54443,1.16431,0.0097822,0.0097822,0.0097822
35,1691.22,1.00948,0.75535,1.18541,0.9017,0.90015,0.96064,0.72622,0.89736,0.55185,1.16223,0.0097756,0.0097756,0.0097756
36,1738.2,1.01148,0.74793,1.1793,0.91245,0.91018,0.964,0.73144,0.89708,0.53614,1.16342,0.009769,0.009769,0.009769
37,1785.55,1.00705,0.74772,1.18175,0.91817,0.91237,0.96789,0.73653,0.88495,0.51998,1.15143,0.0097624,0.0097624,0.0097624
38,1832.76,1.00831,0.73836,1.17902,0.92241,0.90705,0.96846,0.7383,0.88042,0.52,1.1515,0.0097558,0.0097558,0.0097558
39,1879.72,0.99993,0.73799,1.17832,0.92197,0.92288,0.97108,0.74151,0.88439,0.5064,1.15113,0.0097492,0.0097492,0.0097492
40,1927.09,1.00764,0.73343,1.17806,0.92121,0.91779,0.97091,0.74028,0.88563,0.51279,1.15388,0.0097426,0.0097426,0.0097426
41,1974.24,0.99808,0.72001,1.17196,0.93019,0.91407,0.97108,0.74653,0.87397,0.49837,1.14414,0.009736,0.009736,0.009736
42,2021.18,0.99673,0.71796,1.17395,0.92986,0.92138,0.97349,0.75014,0.8688,0.4948,1.13958,0.0097294,0.0097294,0.0097294
43,2068.58,0.99174,0.70965,1.16989,0.93201,0.92544,0.97607,0.75202,0.86566,0.48066,1.1373,0.0097228,0.0097228,0.0097228
44,2115.64,0.98601,0.70423,1.1685,0.94299,0.92835,0.97563,0.75285,0.86358,0.47959,1.13635,0.0097162,0.0097162,0.0097162
45,2162.73,0.98684,0.69984,1.16158,0.94265,0.92286,0.97679,0.75483,0.85948,0.47616,1.13352,0.0097096,0.0097096,0.0097096
46,2209.99,0.98207,0.69932,1.15983,0.9465,0.93273,0.97859,0.75783,0.86485,0.46712,1.13596,0.009703,0.009703,0.009703
47,2257.12,0.97697,0.69361,1.16082,0.94398,0.93183,0.97696,0.7573,0.85945,0.46707,1.13184,0.0096964,0.0096964,0.0096964
48,2304.3,0.97361,0.68038,1.15457,0.94648,0.93142,0.97893,0.76005,0.85782,0.46008,1.13144,0.0096898,0.0096898,0.0096898
49,2351.46,0.98087,0.69141,1.16392,0.94374,0.94342,0.97931,0.76068,0.85479,0.45748,1.12904,0.0096832,0.0096832,0.0096832
50,2398.56,0.97908,0.67869,1.16017,0.94733,0.93267,0.97856,0.7612,0.852,0.4578,1.12726,0.0096766,0.0096766,0.0096766
